model_selector,segment,empedu_p,empfoo_p,empgov_p,empind_p,empmed_p,empofc_p,empoth_p,empret_p,emprsc_p,empsvc_p,emptot_p,hh_p,stugrd_p,stuhgh_p,stuuni_p,log_aparks
workplace,work_low,0.54,0.62,0,0,0.2,0.39,0.14,0.14,0,1,0,0,0,0,0,0
workplace,work_med,0.57,0.27,0,0.05,0.29,0.65,0.05,0.17,0,1,0,0,0,0,0,0
workplace,work_high,0.47,0,0.28,0.12,0.23,1,0.01,0.09,0,0.91,0,0,0,0,0,0
workplace,work_veryhigh,0.25,0.07,0.17,0.08,0.14,1,0,0,0,0.3,0,0,0,0,0,0
school,university,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
school,gradeschool,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
school,highschool,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
non_mandatory,escort,0.65,0.29,0,0,0,0,0,0.25,0,1,0,0.14,0.24,0.06,0,0
#non_mandatory,escort_kids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#non_mandatory,escort_nokids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
non_mandatory,shopping,0,0.54,0,0,0,0,0,1,0,0.13,0,0,0,0,0,0
non_mandatory,eatout,0,1,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0
non_mandatory,othmaint,0.12,0.49,0.24,0,0.77,0.08,0,0.67,0,1,0,0,0,0,0,0
non_mandatory,social,0.23,0.9,0,0,0.14,0,0,0.16,0,1,0,0.21,0,0,0,0.49
non_mandatory,othdiscr,0.15,0.19,0,0,0,0,0,0.17,0,1,0,0.1,0,0,0,0.62
atwork,atwork,0,1,0,0,0.13,0.54,0,0.14,0,0.37,0,0,0,0,0,0.12
trip,work,0.27,0.34,0.24,0,0,1,0,0,0,0.86,0,0,0,0,0,0
trip,escort,0.42,0,0,0,0.28,0,0,0.29,0,1,0,0,0.17,0.02,0,0.25
trip,shopping,0,0.78,0,0,0,0,0,1,0,0.23,0,0,0,0,0,0
trip,eatout,0,1,0,0,0,0,0,0.23,0,0.15,0,0,0,0,0,0
trip,othmaint,0,1,0.18,0,0.5,0,0,0.79,0,0.81,0,0,0,0,0,0.14
trip,social,0,0.663632,0,0,0,0,0,0.129864,0,1,0,0.167211,0,0,0,0
trip,othdiscr,0.15,0.29,0,0,0,0,0,0.12,0,1,0,0.06,0,0,0,0.29
trip,univ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
#trip,gradeschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#trip,highschool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
